,Nome do APP,Idioma,Description
0,Credicard ON,pt-BR,"Quer saber mais sobre as possibilidades do seu cartão de crédito Credicard On? Se liga:◉ Fatura DigitalUma plataforma completa onde você pode consultar fatura digital, pagar boleto e parcelar fatura direto do seu celular!◉ Renegociação de saldoFatura atrasada? Renegocie o saldo total do seu Credicard On no nosso app ou parcele a fatura em até 24x◉ Cartão Virtual!Mais segurança e modernidade! Faça um cartão virtual recorrente para assinaturas ou o cartão virtual temporário para compras eventuais online. ◉ Pagamento por aproximação com Carteira DigitalÉ só aproximar o celular! Cadastre seu cartão de crédito no Samsung Pay e faça pagamento por aproximação de forma rápida e segura.◉ Cartão de Crédito Credicard OnCartão de crédito sem anuidade, com todos os benefícios de um Visa Platinum, e basta aproximar o cartão na maquininha que tá pago!◉ SegurosPra vc proteger o que é mais importante! Confira todas as opções de Seguros pra vc zerar o melhor da vida.◉ Loja de BenefíciosAproveite os descontos exclusivos na loja de benefícios! Confira os mais de 25 parceiros.◉ Gerenciamento do cartãoSolicite 2ª via, faça o desbloqueio, rastreie seu cartão de crédito, altere data de vencimento da fatura digital e/ou faça o cancelamento do cartão direto pelo app.◉ SuporteResolva tudo pelo app! Atendimento digital prático e rápido, sem precisar ligar na central"
1,Cartão Luiza,pt-BR,"O Cartão Magalu é um cartão de crédito com ZERO ANUIDADE, cashback, descontos e condições incríveis em mercado, farmácias, cosméticos, moda, artigos esportivos, e muito +. Baixe o app e peça agora o seu Cartão Magalu para aproveitar esses benefícios exclusivos.*O app do Cartão Luiza auxilia no controle de gastos das suas compras em tempo real, consulta da fatura para você se planejar e uso do cartão virtual para compras online.Controle de gastosNo app do Cartão Luiza, você faz seu controle de gastos digital: na linha do tempo ficam todos os seus gastos do cartão de crédito, em ordem cronológica e em tempo real. Assim ficou mais fácil fazer o controle de gastos do seu cartão de crédito. Acesse sua fatura digital e faça a consulta de saldo para se programar e comprar online.Você pode consultar a fatura aberta ou fechada do seu cartão de crédito em qualquer lugar. Fez a consulta de saldo e precisa parcelar a fatura da sua última compra de eletrodomésticos? O app permite a contratação do parcelamento da fatura, assim você evita um aperto no orçamento. Baixe agora para consultar seu limite e controlar gastos com mais facilidade. Comprar online e controlar gastos ficou mais fácil. É só fazer consulta de saldo e verificar sua fatura digital, sem sair de casa!Consulta de saldoQuer comprar eletrodomésticos e muito mais? O app do Cartão Luiza foi feito para você acompanhar o que acontece com o seu cartão de crédito, desde consultar saldo até mesmo controlar gastos. Isso mesmo, consulta de saldo na palma da sua mão! Fazer sua consulta de saldo com o app ficou mais rápido. Você pode comprar online sem medo de se apertar.Cartão virtualO app do cartão de crédito do Cartão Luiza é perfeito para gerenciar e controlar gastos, consultar saldo e acompanhar a fatura. Além disso, oferece toda a segurança para o usuário comprar online: com ele, é possível gerar um Cartão Virtual para utilizar nas suas compras online. Você pode escolher entre criar um cartão virtual para suas compras recorrentes, como assinaturas (ex. streaming, academia), serviços de entrega, transportes e sites que você confia ou criar um cartão virtual temporário, que expira em 48 horas e serve para fazer compras pontuais. Com o Cartão Luiza você pode comprar eletrodomésticos e outros produtos em diversos lugares. Simples e seguro!Cartão de crédito seguroPerdeu o cartão? O app te ajuda a fazer o bloqueio e desbloqueio temporário do cartão de crédito. É uma solução 100% digital para tornar o seu dia a dia mais prático e seguro.O app do cartão de crédito do Cartão Luiza foi feito para facilitar o seu cotidiano: através dele você consegue, de forma rápida e simples, consultar saldo, verificar o valor da sua próxima fatura além de poder controlar gastos e, assim, programar-se para os próximos meses!Ganhe tempo e baixe agora o app Cartão Luiza. Comece a controlar gastos, consultar saldo, acompanhe a fatura de perto, gere seu cartão virtual e acrescente segurança no seu dia a dia. Desfrute de todas as funcionalidades pensadas justamente para facilitar ainda mais a sua vida na hora de comprar online!Faça a consulta de saldo e fatura direto do app Cartão Luiza e acompanhe de perto os seus gastos diários!Você pode pedir seu cartão Magazine Luiza diretamente no app. Baixe o aplicativo, clique em ""peça já o seu"" e preencha o formulário para solicitar o cartão que mais combina com você! Controlar gastos nunca foi tão prático: você pode acessar sua fatura digital ou fazer consulta de saldo quando quiser!Com o App Cartão Luiza, você pode comprar eletrodomésticos e muito mais!Baixe agora o app para fazer consulta de saldo, verificar a fatura digital e fazer parte desse novo movimento digital.App Cartão Luiza, tudo do seu cartão direto no seu celular.*consultar condições"
2,Hipercard,pt-BR,"Sua rotina ainda mais prática! O aplicativo de cartão de crédito do Hipercard tem tudo o que você precisa:◉ Apertado para pagar contas? Você pode fazer renegociação ou parcelar fatura do cartão com as melhores taxas do mercado direto pelo app! ◉ A Hipercard te dá aquela mãozinha! Você também pode pagar boletos das suas contas no aplicativo.◉ Contrate Crédito Pessoal para te ajudar a realizar aquele sonho, ou organizar as finanças!◉ Vai fazer uma compra online ou assinatura em plataformas de streaming? Faça um cartão virtual ou cartão virtual temporário para compras eventuais e tenha mais segurança!◉ Aumentar limite é fácil! Nem precisa ligar na central!◉ Peça a 2ª via do cartão de crédito, acompanhe e desbloqueie no app.◉ Tem espaço para família toda! Faça um cartão de crédito adicional e tenha controle dos gastos em um só lugar!◉ Controle seus gastos alterando o vencimento da fatura◉ Aviso SMS: fique mais tranquilo tendo o controle de tudo que é comprado no seu cartão de crédito recebendo notificações a cada compra.◉ Consulte as ofertas do mercado BIG Bompreço aqui no app. Além da loja de benefícios com descontos exclusivos!Tem interesse em pedir cartão Hipercard? Solicite no Núcleo de Cartões e Serviços nas lojas físicas do Grupo BIG e aproveite os benefícios! Encontre a loja mais próxima clicando aqui 👉🏼 tabloide.big.com.br.Baixe o app Hipercard e aproveite nossas funcionalidades de acordo de fatura, empréstimo pessoal, parcelar fatura, entre outros para te ajudar a pagar contas e organizar as finanças de forma simples, prática e seguro!	*Cartão sujeito a análise de crédito."
3,Itaucard,pt-BR,"Itaucard agora é Itaú Cartões! Mais segurança com cartão virtual e modernidade com pagamento por aproximação!Além da praticidade de poder resolver tudo no celular!Não possui cartões Itaú? Baixe o app e peça seu cartão de crédito! Se liga nos benefícios:💼Carteira digitalAdicione seu cartão de crédito na carteira digital da Samsung Pay ou Google Pay para fazer pagamento por aproximação com o celular.💳 Cartão virtualPague suas assinaturas no cartão virtual ou faça compras online com cartão virtual temporário de forma totalmente segura! É gratuito e pode ser gerado pelo app.💵 Renegociar pagamento e parcelar faturaRenegocie o saldo total do seu cartão ou, antes de parcelar fatura, simule o parcelamento e tenha mais tempo para colocar suas contas em dia.💰Crédito pessoalConcretize seus planos solicitando crédito pessoal no app! Dinheiro na conta em até 48h úteis.📆 Alterar vencimentoPara conseguir se organizar, você pode alterar o vencimento da fatura online através do app.💲Aumento de limiteAumente seu limite pré-aprovado do cartão de crédito sem precisar ligar na central de atendimento.🕓 Linha do tempoAqui é muito mais fácil consultar fatura. Acompanhe os detalhes de suas compras em tempo real.📱Fatura digitalAtive a fatura digital e receba por e-mail. É simples e sustentável!📃Fatura OnlineCom o app é simples consultar fatura online, gerar boleto para fazer pagamentos e gerar a 2ª via da fatura. Tudo na palma da sua mão!💳 Solicitar segunda via do cartão de crédito Visa e MastercardSolicite a segunda via do seu cartão de crédito, acompanhe e desbloqueie de um jeito fácil e rápido. ✅Parcerias e benefíciosAproveite a loja de benefícios com muitos descontos em lojas parceiras.📳 Atendimento digitalVocê não precisa mais ligar na central para realizar alguns serviços, faça tudo pelo app.Pra vc que quer economizar, o Itaú Cartões também possui cartão de crédito sem anuidade! Basta pedir cartão Click Visa Platinum ou Mastercard. Além de ter design moderno, faz pagamento por aproximação. E para garantir ainda mais segurança, tem a opção de cartão virtual!Baixe o app dos cartões Itaú! Tudo do seu cartão de crédito direto no seu celular ;)*Cartões sujeitos a análise de crédito"
4,Itaú Full,pt-BR,"Com o app do Banco Itaú, você faz tudo no seu celular! Abra sua conta e acompanhe suas finanças com apenas alguns cliques. Além disso, você pode solicitar seu cartão sem mensalidade e fazer transferências sem taxas, 24h por dia com o Pix!Entenda tudo o que você pode fazer pelo app do Banco Itaú:◉ Cartão VirtualCom cartão virtual você fica mais seguro para pagar assinaturas ou fazer compras online. ◉ Pagamento por Aproximação com carteira digitalÉ só aproximar o celular! Ao cadastrar seu cartão na Google Pay ou Samsung Pay você pode realizar pagamento por aproximação.◉ Reconhecimento FacialInstale o iToken por meio do reconhecimento facial e aproveite diversos serviços como transferências, pagamentos, Pix, entre outros com segurança e praticidade.◉ Aumento de Limite do Cartão de CréditoAumente o limite do seu cartão de crédito direto pelo seu aplicativo, usando seu limite pré-aprovado.◉ Minhas Finanças e Extrato BancárioAcompanhe sua conta corrente online de um jeito fácil. Você pode consultar o saldo da conta corrente e conta poupança, consultar extrato da conta bancária e a fatura do cartão de débito e cartão de crédito, além de gerenciar todos os pagamentos online e transferências bancárias.◉ PagamentosPague boletos na hora ou agende a operação, escolhendo se o dinheiro sairá da conta corrente, conta poupança ou, se preferir, deixe suas contas em débito automático.◉ Cartão de Débito e Cartão de CréditoSolicite e desbloqueie um novo cartão de crédito e débito, confira a fatura digital de todos os seus cartões e gere o cartão virtual de forma segura para fazer compras online.◉ InvestimentosO Itaú oferece diversas opções de investimento para seu dinheiro continuar rendendo, como Tesouro Direto, Previdência Privada, Poupança e muito mais! Além disso, especialistas podem te orientar em como dar esse primeiro passo.◉ Soluções em créditoSolicite empréstimo pessoal ou crédito imobiliário pelo app. Oferecemos também outros tipos de créditos para te apoiar em diferentes momentos da vida.◉ Renegociação de Dívidas e FinanciamentosConte com os benefícios para renegociar dívidas, seus financiamentos e seu cartão de crédito do banco digital.◉ Transferências BancáriasComo em um banco digital, faça transferências para conta poupança ou conta corrente de qualquer banco online.◉ Empréstimo Pessoal*Quer sair do vermelho? Tenha crédito para o que precisar, inclusive crédito imobiliário, basta escolher o valor do empréstimo pessoal e ter a liberação imediata na sua conta.◉ Informe de RendimentosVai preencher sua declaração de imposto de renda? Baixe seu informe de rendimentos em formato PDF para imprimir, enviar por e-mail ou para outros aplicativos. O aplicativo de banco online te permite cuidar das finanças, pedir cartão de crédito e débito, consultar saldo da conta corrente e conta poupança, recarregar o celular, solicitar empréstimo pessoal, investir, renegociar financiamentos e muito mais de forma segura sem precisar sair de casa.Acompanhe a fatura do cartão de crédito, realize depósito em cheque, faça pagamentos por aproximação usando o celular ou com cartão virtual na internet. Consultar saldo, consultar extrato, encontrar o melhor investimento, solicitar empréstimo, crédito imobiliário e muito mais!Ainda não é cliente Itaú? Então vem! Acesse o site Banco Itaú Abreconta e faça a solicitação para abrir conta!*Para empréstimo pessoal, o dinheiro cai na hora após contratação nos casos de crédito já pré-aprovado pelo banco Itaú."
5,Itaú Personnalite,pt-BR,"Ser Personnalité é viver a melhor experiência!Conheça as vantagens do banco no app:● Casa de CâmbioVai viajar para o exterior? No app do banco você pode consultar taxa de câmbio, fazer transferência internacional, comprar dólar ou euro em espécie e retirar na agência mais próxima.● Cartão VirtualO cartão virtual é perfeito para pagar compras recorrentes de forma segura, como: assinaturas de streaming, academia e muito mais! Já para compras eventuais, é só usar o cartão virtual temporário que expira após o uso.  ● Utilize a Carteira DigitalFaça pagamentos por aproximação usando o celular, relógio ou pulseira, cadastrando seu cartão em uma carteira digital.● Cartão Black MastercardJá pensou ter um cartão de crédito flexível e que se adequa aos seus gastos? Confira os benefícios exclusivos:● Acesso gratuito e ilimitado à sala vip Mastercard em Guarulhos;● Cartão com pontos: acumule 3 pontos a cada dólar em compras internacionais e 2 pontos a cada dólar em compras nacionais no cartão de crédito black;● Pontos que NÃO expiram: troque por produtos, cashback ou experiências no iupp;● Aproveite todos os benefícios exclusivos oferecidos pelo Mastercard® Black como o Mastercard Black™ Concierge, MasterSeguro, Mastercard Surpreenda, entre outros.● InvestimentosAinda procurando onde investir? Conte com nossa assessoria especializada para ter a melhor recomendação de investimentos de acordo com o seu perfil e nível aceitável de risco.No app, o investidor conta com os seguintes investimentos:● Fundos que investem em Criptomoeda● ETFs● Tesouro Direto;● Fundos que permitem investimentos em renda fixa, renda variável, fundos multimercado e cambiais;● Fundos Imobiliários (LCI) e de Agronegócio (LCA);● Previdência privada;● Ações de empresas na Bolsa de Valores;● CDB e renda fixa;● COE de renda fixa e renda variável;● E investir na poupança.Aproveite anuidade zero no cartão de crédito com investimentos a partir de R$50 mil em qualquer ativo do banco.● Opções de crédito*Tenha crédito para o que precisar, inclusive crédito imobiliário, basta escolher o valor do empréstimo pessoal e ter a liberação imediata na sua conta.Este app é exclusivo para clientes Personnalité. Se você deseja abrir conta corrente para ter acesso às nossas soluções de investimentos, acesse o site Itaú Abreconta (https://feitopara.vc/itau-abreconta) e faça a sua  abertura de conta online.E mais! Ao abrir conta no Personnalité você tem 12 meses de isenção na tarifa da conta e na anuidade do cartão de crédito, além de 10 dias sem juros no cheque especial. Aproveite diversas opções de  investimentos com taxa zero, como: renda fixa, ações na Bolsa de Valores, FIIs (Fundos Imobiliários), Tesouro Direto e Previdência. Lembrando que nossa prateleira é aberta! Acesse nossos produtos e de outras instituições.Baixe o app e viva a Experiência Personnalité!*Para empréstimo pessoal, o dinheiro cai na hora após contratação nos casos de crédito pré-aprovado pelo banco Itaú."
6,Itaú Empresas,pt-BR,"Chega de pagar mensalidade da sua conta corrente PJ! Você pode zerar a mensalidade da sua conta com o plano de serviços, o Plano Adapt. A conta é simples, quanto mais você usa, mais você economiza. Seus investimentos, vendas na maquininha da Rede Itaú, recebimentos de boletos e pagamentos de salários de funcionários podem te ajudar a ter uma mensalidade zerada.Baixe o app, abra a sua conta e escolha o Plano Adapt, Plano de serviços da conta PJ que possibilita mensalidade zero! Já é cliente Itaú Empresas? Acesse o app e siga a rota Plano Adapt > Conheça e Contrate!No Itaú empresas você encontra uma conta empresarial completa para você ter tranquilidade para sua empresa o mês todo. Baixe o app e conheça nossas soluções de crédito empresarial, consórcio para empresas, cartão empresarial, investimentos para empresas, conta PJ, entre outros.Aqui, apoiamos o seu negócio com soluções que se adéquam a necessidade da sua empresa. Abra sua conta, peça o cartão de crédito empresarial com a primeira anuidade grátis e parcele suas compras em até 24x. Venha fazer parte de um banco feito com você, onde você precisar.Confira os benefícios de fazer a gestão financeira dos seus negócios com nosso app de banco empresarial:◉ Conta PJPara abrir sua conta empresarial 100% digital e com todos os benefícios exclusivos que só o banco que tem tudo pode oferecer, é só acessar o app. Nele você encontra todas as informações para fazer a gestão financeira da sua empresa em um banco empresarial completo pensado para o seu negócio. Conta PJ é no Itaú Empresas.◉ Plano de Serviços Conta PJFacilite a gestão da sua empresa e economize na mensalidade do plano da sua conta corrente e no aluguel da sua maquininha de cartão Rede, através dos nossos Planos de Serviços. Você acompanha a utilização dos serviços do seu plano de forma simples e transparente, pelo app.◉ Crédito empresarialAcelere o crescimento da sua empresa com as condições especiais de crédito empresarial do Itaú.◉ Cartão empresarialAbra sua conta empresarial online e peça o cartão empresarial Itaú com a primeira anuidade grátis (exclusiva para pedidos no app ou internet). Você pode parcelar as compras do seu cartão empresarial em até 24x e controlar tudo pelo aplicativo.◉ ConsórcioEscolha o melhor plano de consórcio e invista na renovação da sua frota ou na nova sede da sua empresa. Com o Itaú Empresas você tem a liberdade de escolher a marca e modelo do veículo e até o imóvel que preferir. Conte com nossos prazos estendidos, adequando as parcelas ao fluxo de caixa com até 192 meses para pagar.**◉ PixAgora sua empresa conta com mais um benefício ao receber via Pix aqui no Itaú: 5 dias sem juros no cheque especial (LIS). Receber é com Pix Itaú.◉ Gerar BoletosNo app do Itaú Empresas você consegue gerar boletos. Com o serviço de cobrança do Itaú sua empresa pode gerar boletos registrados pela internet ou pelo aplicativo de forma simples, segura e rápida.◉ Investimentos para empresasInvista de acordo com os objetivos da sua empresa. Consulte agora as nossas soluções de investimentos para empresas que farão seu negócio evoluir.O Itaú empresas é um app de banco empresarial que é muito mais do que um internet banking, pois facilita a gestão do seu negócio e te ajuda com as finanças da sua empresa de uma forma acessível e inteligente, tornando sua gestão financeira muito mais simples. Venha realizar o sonho de ser um microempreendedor. Venha para o seu banco empresarial. Venha para o Itaú Empresas.Itaú empresas: preparamos as melhores soluções para apoiar seu negócio.*sujeito a análise**consulte condições"
7,Rede,pt-BR,"Precisando de uma ajuda com suas dúvidas sobre vendas, recebimentos e suporte à maquininha? Conte com o apoio dos nossos especialistas através do atendimento personalizado. Acesse a aba de vendas, clique no botão de ajuda e fale conosco através do chat!No app Rede você pode acompanhar suas vendas no débito, crédito, vendas voucher (cartão de benefícios de refeição e alimentação), seus recebimentos e recebimentos futuros, de forma mais detalhada! Confira tudo que caiu na sua conta e o que ainda irá receber ;)Ser cliente Rede é ter uma maquininha de cartão com soluções seguras para vender online através do link de pagamento ilimitado e com a segurança e tecnologia essencial para seu negócio. Baixe o app, solicite uma oferta da maquininha de cartão e venha pra Rede de soluções do Itaú!Conheça mais:Feito para todo negócioEscolha a solução ideal para aceitar cartão de crédito, cartão de débito, vendas voucher, Pix e vender parcelado com diversas soluções de pagamento.Antecipação de vendas da máquina de cartãoVocê pode antecipar pagamentos das vendas realizadas na maquininha de cartão e receber no mesmo dia.*Cancelamento de vendasTenha o controle do seu negócio. Você pode cancelar vendas da maquininha sempre que precisar.Link de pagamentoVocê pode vender online de forma prática e segura. Gere um link de pagamento pelo app e compartilhe com seu cliente sem precisar da maquininha de cartão ou site.PixCom o Pix com QR Code na maquininha de cartão, cliente do Itaú podem receber pagamentos e o valor cai na conta em até 10s.Simulador de vendasFaça a simulação de vendas no débito, crédito à vista, crediário e crédito com juros.Relatório de vendas e recebimentosRelatórios personalizados com gráficos comparativos e filtros por período, bandeiras de cartão, ou modalidade (cartão de débito, cartão de crédito, vendas voucher, etc.) das vendas feitas pela maquininha de cartão. Veja até recebimentos futuros. Facilite sua gestão de vendas!Consulta de taxasConsulte as taxas das vendas feitas no cartão de débito, cartão de crédito e demais modalidades na maquininha. Elas te ajudam na conciliação com o extrato bancário.Solicitação de kit de sinalização e bobinaControle seu estoque de materiais para receber pagamentos sem problemas. Solicite kit de sinalização e boninas para a maquininha de cartão a qualquer momento no app.Ajuda direto no AppOferecemos suporte direto com especialistas através do chat para tudo que você precisa sobre vendas, recebimentos ou suporte para a sua maquininha.Rede, a maquininha de cartão que aceita pix, link de pagamento para vender online, carteiras digitais, pagamento por aproximação, mais de 45 bandeiras de cartão de crédito e cartão de débito, vendas voucher, e que ainda tem antecipação de vendas, simulador de vendas, cancelamento de vendas, relatório de vendas e recebimentos (recebidos e a receber) para a gestão de vendas do seu negócio. Quem tem Rede, tem tudo!*Em caso de solicitação de antecipação de vendas é necessário antecipar pagamentos até às 14h para receber no mesmo dia. Após este horário, você receberá o pagamento no dia seguinte.**Consulte as condições"
8,íon Itaú,pt-BR,"Investir com o íon é fácil! Explore os investimentos disponíveis em Renda Fixa e TAXA ZERO em ETFs do Itaú.🗂️ Organizador de InvestimentosConecte todas as suas contas de até 10 bancos e corretoras para ter uma visão global e controlar investimentos.✅ Recomendação de CarteiraAinda procurando onde investir? No íon, selecionamos a recomendação ideal para os seus objetivos!📊 Simulador de RentabilidadeTranquilidade para gerenciar sua carteira. Simule o rendimento do seu saldo antes de aplicar.📉 Gráfico de RendimentosAdeus planilhas à mão! Com o gráfico de rendimentos você acompanha toda a evolução dos seus investimentos direto do app.🪙 Fundos de CriptomoedaPotencialize sua carteira aplicando em fundos que investem em criptomoedas, como: Bitcoin, Ethereum, DeFi e outros!📱Stories e Feed de notíciasFique por dentro dos acontecimentos do Brasil e no mundo que impactam o mercado financeiro em tempo real e os principais indicadores (Taxa Selic, CDI, Ibovespa, etc) como se estivesse em uma rede social.📈Bolsa de ValoresO íon te possibilita comprar e vender ações, fundos imobiliários, dentre outros ativos de renda variável. Acompanhe sua rentabilidade (R$ e %) em tempo real.💲 Diversifique seus investimentos, com:- Ações;- BDRs;- ETFs;- Renda fixa do Itaú e de terceiros;- FIIs;- FIDCS.- Fundos de ações, fundos multimercado, fundos cambiais.💼Carteira de InvestimentosAcompanhe e compare seus rendimentos com indicadores do mercado financeiro, como Ibovespa, CDI, inflação e muito mais.Consulte tudo que você já tiver na sua carteira de investimentos do Itaú e na Itaú Corretora por aqui:- Ações na bolsa de valores e renda variável;- COE (ações, renda fixa, renda variável ou moedas);- CDB do Itaú e CDB de terceiros;- Títulos do Tesouro Direto;- Acompanhe a liquidez diária dos produtos de renda fixa, como LCIs, LCAs, Poupança, títulos prefixados e títulos pós-fixados;- E previdência.Por enquanto, esta nova experiência de investimentos está disponível somente para clientes Itaú. Não é cliente Itaú? Entre na lista de espera e receba em primeira mão nossas novidades.O íon Itaú é feito com você! E para continuarmos evoluindo no universo dos investimentos queremos ouvir a sua opinião! Nos conte sua experiência com o gráfico de rendimentos, recomendação de carteira, simulador de rentabilidade, organizador de investimentos e a evolução dos seus investimentos em ações na Bolsa de Valores, fundos de criptomoeda, renda fixa, entre outros!Baixe o app e descubra um jeito fácil de investir dinheiro!"
9,Samsung Itaucard,pt-BR,"Biaxe o app Samsung Itaucard, solicite seu cartão e comece a aproveitar todos os benefícios!O Plano Samsung Itaucard conta com um cartão de crédito sem anuidade, parcelamento em até 24x sem juros em compras nas lojas Samsung, e com o Plano Samsung Plus você conta com ainda mais vantagens. No Plano Samsung Plus, além de todos os benefícios do Plano Samsung Itaucard, você junta pontos iupp nas compras no cartão de crédito, trocando por viagens ou diversos produtos, e ganha o dobro de pontos no Samsung Rewards. Mude de plano pelo app quando quiser!Conheça as funcionalidades e benefícios do cartão Samsung Itaucard Visa Platinum:◉ Contrate pelo appVocê solicita seu cartão de crédito sem anuidade pelo app. Depois de aprovado você já pode fazer suas compras com o cartão virtual antes do físico chegar!◉ Cartão VirtualO cartão virtual é um cartão de crédito para compras online e seguras! Existem dois tipos de cartão virtual: o temporário que dura 24 horas e serve para compras online pontuais e o recorrente, perfeito para assinaturas de apps de música ou plataformas de streaming.◉ Carteira DigitalGerencie seus cartões pelo app e adicione-os no Samsung Pay! O pagamento é por aproximação usando seu celular ou seu Galaxy Watch.◉ Atendimento DigitalUtilize o chat para tirar dúvidas e resolver suas questões rapidamente.◉ Fatura digitalConsulte os gastos do seu cartão de crédito e cartão virtual em tempo real. Acesse a data de vencimento, limite disponível e linha do tempo do seu cartão de crédito e cartão virtual. Use o app para gerar boletos e realizar o pagamento de faturas fechadas.◉ Menor preço Visa PlatinumConte com os benefícios de um Cartão de Crédito Visa Platinum, como proteção de preços e de compras, além da garantia estendida exclusiva.◉ Descontos e condições especiaisParcelamento de compras em até 24x sem juros e preços exclusivos com seu cartão de crédito sem anuidade nas lojas Samsung.◉ Samsung RewardsReceba 30 pontos extras a cada compra feita com Samsung Pay. Basta cadastrar seu cartão de crédito Samsung Itaucard no Samsung Pay e começar a usar. E o melhor: são 1.000 pontos extras na primeira transação!◉ Pontos iuppO iupp é a plataforma de compras do Itaú. Cadastre seu cartão de crédito, faça compras dentro do site e junte pontos que podem ser trocados por viagens e diversos produtos. Com o Plano Samsung Plus, você ganha 1 ponto iupp a cada R$ 4 gasto em qualquer compra com cartão de crédito Samsung Itaucard.Cartão de crédito sem anuidade Samsung Itaucard, o cartão de crédito visa platinum com pontos iupp e cartão virtualFique com tudo com Samsung Itaucard ;)"
